,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Michael Olowokandi,3,Pacific,Big West,33,,9.4,15.4,.609,9.4,15.4,.609,0.0,0.0,,3.5,7.1,.485,11.2,0.8,0.3,2.9,,,22.2,-0.56
0,Mike Bibby,2,Arizona,Pac-10,35,32.0,6.0,12.9,.464,3.8,7.2,.526,2.2,5.7,.387,3.1,4.1,.755,3.0,5.7,2.4,0.2,2.2,1.6,17.2,8.38
0,Raef LaFrentz,4,Kansas,Big 12,30,30.2,7.7,14.1,.548,7.5,13.5,.552,0.3,0.6,.471,4.0,5.5,.738,11.4,1.0,0.9,1.5,2.5,2.4,19.8,6.54
0,Antawn Jamison,3,UNC,ACC,37,,8.5,14.8,.579,8.4,14.4,.584,0.2,0.4,.400,5.0,7.5,.667,10.5,0.8,0.8,0.8,,,22.2,10.38
0,Vince Carter,3,UNC,ACC,38,,5.9,10.0,.591,4.7,7.2,.662,1.2,2.8,.411,2.6,3.9,.680,5.1,1.9,1.2,0.9,,,15.6,10.38
0,Robert Traylor,3,Michigan,Big Ten,34,,6.6,11.4,.579,6.6,11.4,.580,0.0,0.0,.000,3.1,4.8,.642,10.1,2.6,1.3,1.4,,,16.2,9.64
0,Jason Williams,3,Florida,SEC,20,,5.6,12.7,.441,2.9,6.0,.483,2.7,6.7,.403,3.2,3.8,.840,3.0,6.7,2.7,0.2,,,17.1,6.42
0,Larry Hughes,1,Saint Louis,CUSA,32,,7.0,16.9,.415,5.7,12.3,.461,1.3,4.5,.290,5.6,8.1,.692,5.1,2.4,2.2,0.4,,,20.9,5.51
0,Paul Pierce,3,Kansas,Big 12,38,30.4,7.6,14.7,.513,6.5,11.6,.560,1.1,3.1,.339,4.3,5.8,.738,6.7,2.6,1.1,1.1,2.9,2.3,20.4,6.54
0,Bonzi Wells,4,Ball State,MAC,29,,8.2,16.8,.490,6.4,11.9,.538,1.8,4.9,.373,4.6,6.7,.689,6.3,3.3,3.6,0.7,,,22.8,0.68
0,Michael Doleac,4,Utah,WAC,32,,5.2,10.6,.488,4.8,9.6,.497,0.4,1.0,.406,5.4,6.7,.805,7.1,0.5,0.4,1.0,,,16.1,4.87
0,Keon Clark,2,UNLV,WAC,10,,5.7,10.4,.548,5.3,9.6,.552,0.4,0.8,.500,3.0,4.5,.667,3.0,1.9,0.2,2.6,,,14.8,5.31
0,Michael Dickerson,4,Arizona,Pac-10,35,28.2,6.9,13.5,.510,5.3,9.5,.554,1.6,4.0,.404,2.6,3.4,.758,4.5,1.8,1.1,0.2,2.2,2.3,18.0,8.38
0,Matt Harpring,4,Georgia Tech,ACC,32,,7.2,15.8,.456,5.6,10.5,.530,1.6,5.3,.310,5.6,6.9,.810,9.4,2.6,1.4,0.2,,,21.6,8.70
0,Bryce Drew,4,Valparaiso,Mid-Cont,31,,6.7,14.9,.450,3.7,7.9,.465,3.0,7.0,.433,3.3,4.2,.792,4.2,5.0,1.7,0.1,,,19.8,-2.66
0,Pat Garrity,4,Notre Dame,Big East,27,,7.9,16.5,.481,6.4,12.5,.516,1.5,4.0,.370,5.9,7.9,.750,8.3,2.4,0.6,0.6,,,23.2,6.28
0,Roshown McLeod,5,Duke,ACC,36,,5.4,11.0,.494,4.2,8.1,.524,1.2,3.0,.411,3.1,4.4,.706,5.6,1.4,1.2,0.7,,,15.3,9.33
0,Ricky Davis,1,Iowa,Big Ten,31,,5.6,12.0,.466,4.7,9.0,.518,0.9,2.9,.308,2.9,4.2,.698,4.8,2.4,1.2,0.3,,,15.0,6.04
0,Brian Skinner,4,Baylor,Big 12,28,,6.9,12.4,.553,6.9,12.4,.553,0.0,0.0,,4.4,7.4,.591,9.5,0.5,1.4,3.5,,,18.1,4.89
0,Tyronn Lue,3,Nebraska,Big 12,32,,7.5,17.1,.439,5.1,10.6,.479,2.4,6.5,.373,3.8,4.5,.828,4.3,4.8,2.0,0.1,,,21.2,5.63
0,Felipe Lopez,4,St. John's (NY),Big East,32,,6.4,14.9,.431,4.6,9.4,.487,1.9,5.6,.337,2.8,4.9,.573,4.8,2.7,1.2,0.8,,,17.6,6.77
0,Sam Jacobson,4,Minnesota,Big Ten,32,,6.7,15.8,.426,5.2,11.2,.468,1.5,4.6,.324,3.3,4.5,.727,5.2,1.8,1.3,0.2,,,18.2,8.30
0,Corey Benjamin,2,Oregon State,Pac-10,25,,7.4,13.7,.539,6.2,9.8,.639,1.2,4.0,.293,3.9,5.4,.713,5.0,2.2,1.9,0.7,,,19.8,6.25
0,Nazr Mohammed,3,Kentucky,SEC,39,,4.9,8.2,.597,4.9,8.2,.597,0.0,0.0,,2.3,3.5,.652,7.2,0.7,0.9,1.9,,,12.0,9.85
0,Ansu Sesay,4,Ole Miss,SEC,29,,6.2,13.7,.456,5.5,11.6,.475,0.7,2.1,.350,5.4,7.4,.727,7.6,2.8,1.2,0.9,,,18.6,7.07
0,Ruben Patterson,2,Cincinnati,CUSA,19,,5.7,12.2,.472,4.8,8.6,.555,0.9,3.5,.269,4.1,6.7,.602,6.3,2.2,1.2,0.6,,,16.5,4.98
0,Jelani McCoy,3,UCLA,Pac-10,15,,3.8,6.3,.600,3.8,6.3,.600,0.0,0.0,,2.3,4.5,.522,7.1,0.9,0.5,1.7,,,9.9,11.01
0,Shammond Williams,4,UNC,ACC,38,,5.5,11.3,.488,3.2,5.6,.577,2.3,5.7,.400,3.5,3.8,.911,3.2,4.2,1.0,0.1,,,16.8,10.38
0,Jerome James,3,Florida A&M,MEAC,27,,7.7,15.4,.500,7.7,15.4,.500,0.0,0.0,,4.4,8.0,.553,10.4,1.1,0.6,4.6,,,19.9,-11.83
0,Casey Shaw,4,Toledo,MAC,27,,5.1,9.7,.529,5.1,9.6,.531,0.0,0.0,.000,4.0,6.5,.611,10.0,1.2,0.6,1.5,,,14.2,0.21
0,DeMarco Johnson,4,Charlotte,CUSA,31,,7.7,15.3,.501,7.1,13.7,.518,0.6,1.6,.360,5.1,6.6,.779,9.0,1.4,1.4,0.6,,,21.1,6.73
0,Rafer Alston,1,Fresno State,WAC,33,,3.8,9.4,.401,1.8,3.4,.513,2.0,5.9,.337,1.5,2.0,.758,2.2,7.3,2.1,0.4,,,11.0,5.48
0,Cuttino Mobley,4,Rhode Island,A-10,34,,5.7,11.8,.480,3.6,6.9,.525,2.0,4.9,.416,3.9,4.5,.856,4.3,2.6,1.6,0.5,,,17.2,6.43
0,Miles Simon,4,Arizona,Pac-10,35,31.4,5.7,12.0,.476,4.1,7.6,.540,1.6,4.4,.368,4.1,5.3,.778,3.5,3.5,1.3,0.1,3.0,1.4,17.2,8.38
0,Jahidi White,4,Georgetown,Big East,12,,4.3,6.8,.634,4.3,6.8,.634,0.0,0.0,,1.8,4.2,.440,9.1,0.2,1.0,2.2,,,10.5,5.99
0,Sean Marks,4,California,Pac-10,26,,3.7,7.7,.478,3.6,7.3,.495,0.1,0.4,.182,2.4,3.5,.689,7.6,0.7,1.0,0.9,,,9.8,7.99
0,Toby Bailey,4,UCLA,Pac-10,33,,6.2,14.1,.443,4.8,9.7,.497,1.4,4.4,.324,4.0,5.4,.737,5.9,4.1,1.2,0.7,,,17.9,11.01
0,Andrae Patterson,4,Indiana,Big Ten,32,,4.8,9.6,.495,4.4,8.5,.524,0.3,1.1,.278,2.8,3.5,.793,5.8,1.4,0.9,0.9,,,12.6,10.71
0,Tyson Wheeler,4,Rhode Island,A-10,34,,5.1,12.6,.402,2.4,5.3,.458,2.7,7.4,.363,2.1,3.2,.648,2.6,6.0,1.3,0.1,,,14.9,6.43
0,Ryan Stack,4,South Carolina,SEC,31,,3.5,6.9,.498,3.0,5.4,.548,0.5,1.5,.319,2.2,3.1,.708,6.0,1.0,0.7,1.8,,,9.6,8.77
0,Cory Carr,4,Texas Tech,Big 12,27,,7.7,18.3,.423,5.3,11.0,.480,2.5,7.3,.338,5.3,6.1,.861,4.9,2.6,1.1,0.3,,,23.3,5.34
0,Derrick Dial,4,Eastern Michigan,MAC,29,,7.7,15.8,.484,4.9,9.0,.548,2.7,6.8,.399,2.9,3.7,.785,6.7,2.3,1.3,0.9,,,20.9,2.67
0,Greg Buckner,4,Clemson,ACC,32,,6.4,11.9,.537,5.8,10.1,.575,0.6,1.8,.328,2.9,4.2,.696,4.1,2.6,1.6,0.3,,,16.3,10.34
0,Tremaine Fowlkes,4,Fresno State,WAC,32,,5.0,10.3,.491,4.8,9.1,.533,0.2,1.2,.162,3.7,5.8,.636,11.2,1.0,1.6,0.3,,,13.9,5.48
0,Ryan Bowen,4,Iowa,Big Ten,31,,5.3,8.8,.603,5.0,8.3,.607,0.3,0.5,.533,3.6,5.2,.689,8.7,1.5,2.5,1.3,,,14.4,6.04
0,J.R. Henderson,4,UCLA,Pac-10,33,,6.9,12.9,.536,6.8,12.5,.545,0.1,0.4,.286,5.0,7.9,.638,7.8,1.5,1.2,0.4,,,19.0,11.01
0,Torraye Braggs,2,Xavier,A-10,30,,4.4,8.1,.541,4.4,8.1,.541,0.0,0.0,,4.2,5.7,.731,8.2,2.4,1.4,0.4,,,13.0,4.76
0,Maceo Baston,4,Michigan,Big Ten,30,,4.3,7.2,.597,4.3,7.2,.597,0.0,0.0,,4.1,6.3,.654,7.4,1.2,0.8,1.1,,,12.7,9.64
0,Elton Brand,2,Duke,ACC,39,29.3,6.5,10.5,.620,6.5,10.5,.620,0.0,0.0,,4.6,6.6,.707,9.8,1.1,1.3,2.2,1.7,2.5,17.7,10.14
0,Steve Francis,1,Maryland,ACC,34,30.7,6.0,11.5,.523,4.7,8.1,.580,1.3,3.4,.388,3.6,4.6,.790,4.5,4.5,2.8,0.2,3.0,2.8,17.0,9.10
0,Baron Davis,2,UCLA,Pac-10,27,30.7,5.6,11.6,.481,4.3,7.8,.548,1.3,3.8,.343,3.5,5.8,.599,3.6,5.1,2.5,0.4,3.3,3.5,15.9,8.84
0,Lamar Odom,1,Rhode Island,A-10,32,34.9,6.3,13.2,.482,5.3,10.0,.530,1.0,3.1,.330,3.9,5.7,.687,9.4,3.8,0.8,1.5,3.4,2.9,17.6,5.59
0,Wally Szczerbiak,4,Miami (OH),MAC,32,33.8,8.4,16.2,.522,6.5,10.6,.609,2.0,5.5,.356,5.4,6.5,.831,8.5,2.9,1.2,1.0,3.2,3.1,24.2,4.48
0,Richard Hamilton,3,UConn,Big East,34,32.1,7.3,16.4,.443,5.3,10.6,.496,2.0,5.8,.347,5.0,6.0,.833,4.8,2.7,1.2,0.3,2.4,1.6,21.5,8.80
0,Andre Miller,4,Utah,WAC,33,33.1,5.8,11.7,.491,5.1,9.2,.553,0.7,2.5,.265,3.6,5.2,.690,5.4,5.6,2.5,0.5,2.8,1.8,15.8,3.30
0,Shawn Marion,1,UNLV,WAC,29,32.9,7.6,14.4,.529,6.9,12.1,.573,0.7,2.3,.299,2.8,3.8,.730,9.3,1.2,2.5,1.9,1.4,2.1,18.7,4.52
0,Jason Terry,4,Arizona,Pac-10,29,38.2,7.2,16.3,.443,4.6,9.7,.473,2.6,6.6,.398,4.9,5.8,.839,3.3,5.5,2.8,0.2,4.1,1.4,21.9,8.31
0,Trajan Langdon,4,Duke,ACC,36,31.0,5.3,11.5,.462,2.2,4.4,.497,3.1,7.1,.441,3.6,4.2,.842,3.4,1.9,1.4,0.1,1.8,2.3,17.3,10.14
0,Corey Maggette,1,Duke,ACC,39,17.7,3.5,6.7,.525,2.8,4.5,.610,0.7,2.2,.345,2.8,4.0,.716,3.9,1.5,0.7,0.4,2.1,2.5,10.6,10.14
0,William Avery,2,Duke,ACC,39,31.0,5.2,10.4,.495,3.2,5.7,.566,1.9,4.7,.411,2.6,3.2,.810,3.5,5.0,1.5,0.0,2.6,2.2,14.9,10.14
0,Metta World Peace,2,St. John's (NY),Big East,37,34.2,5.3,11.3,.469,3.7,7.1,.525,1.6,4.2,.374,2.3,3.6,.644,6.3,4.2,2.1,1.2,2.8,2.3,14.5,9.09
0,Cal Bowdler,4,Old Dominion,CAA,34,30.0,5.3,10.7,.492,5.0,9.7,.517,0.3,1.0,.257,3.9,5.4,.731,10.0,1.3,0.5,2.9,2.2,1.0,14.7,-1.68
0,James Posey,3,Xavier,A-10,36,35.2,5.3,10.9,.488,4.0,7.2,.550,1.3,3.6,.366,5.0,6.1,.814,8.9,2.3,2.8,0.9,3.3,3.4,16.9,3.89
0,Quincy Lewis,4,Minnesota,Big Ten,27,33.8,8.4,18.3,.457,6.4,13.4,.478,2.0,4.9,.398,4.4,5.5,.811,5.9,1.4,1.9,0.6,2.1,2.9,23.1,9.93
0,Dion Glover,1,Georgia Tech,ACC,33,,6.7,15.2,.441,5.4,10.2,.525,1.4,5.0,.271,3.6,5.6,.640,5.0,2.6,2.1,0.2,,,18.4,8.70
0,Jeff Foster,4,Texas State,Southland,28,28.1,5.1,10.2,.498,5.1,10.2,.498,0.0,0.0,,4.0,5.8,.693,11.3,1.5,1.1,1.0,2.0,1.0,14.2,-8.23
0,Kenny Thomas,4,New Mexico,WAC,26,34.7,6.2,11.4,.545,5.2,8.6,.603,1.0,2.8,.370,4.3,5.9,.734,10.0,2.0,1.6,2.4,2.6,2.5,17.8,0.74
0,Tim James,4,Miami (FL),Big East,30,31.9,7.2,15.0,.477,6.8,13.7,.495,0.4,1.4,.293,3.8,5.5,.697,8.2,0.8,1.3,2.2,3.2,1.7,18.6,9.18
0,Vonteego Cummings,4,Pitt,Big East,26,35.5,5.9,14.3,.411,4.3,9.5,.452,1.6,4.8,.331,2.8,4.0,.699,4.1,4.3,2.7,0.4,3.2,2.9,16.1,7.23
0,Jumaine Jones,2,Georgia,SEC,30,34.4,6.6,14.8,.445,5.0,10.2,.489,1.6,4.6,.348,4.1,5.6,.726,9.5,1.2,1.1,0.7,2.5,2.4,18.8,7.19
0,Scott Padgett,4,Kentucky,SEC,37,29.1,4.2,9.1,.466,2.6,4.7,.543,1.6,4.3,.381,2.5,3.7,.681,5.9,2.6,1.3,0.6,1.8,2.3,12.6,9.93
0,John Celestand,4,Villanova,Big East,31,32.5,4.9,11.2,.437,3.0,6.3,.479,1.9,5.0,.383,3.2,4.0,.798,3.1,4.4,1.3,0.3,3.0,2.2,14.9,7.89
0,Michael Ruffin,4,Tulsa,WAC,33,32.2,3.5,6.7,.527,3.5,6.6,.537,0.0,0.1,.000,4.5,7.5,.603,10.4,1.4,1.8,2.6,2.7,3.0,11.6,4.45
0,Chris Herren,5,Fresno State,WAC,25,27.4,3.6,8.9,.408,1.9,4.3,.435,1.8,4.6,.383,2.3,3.4,.682,1.6,7.2,1.0,0.0,2.8,1.0,11.4,3.66
0,Evan Eschmeyer,4,Northwestern,Big Ten,29,32.3,6.2,10.6,.584,6.2,10.6,.584,0.0,0.0,,7.2,9.4,.762,10.1,2.6,0.8,1.7,3.2,3.4,19.6,9.10
0,Calvin Booth,4,Penn State,Big Ten,27,34.9,5.8,11.3,.513,5.8,11.1,.523,0.0,0.2,.000,3.7,4.8,.775,8.7,0.9,0.6,3.5,2.3,2.2,15.3,8.61
0,Obinna Ekezie,4,Maryland,ACC,24,25.6,4.3,8.9,.488,4.3,8.8,.493,0.0,0.1,.000,4.0,5.8,.693,5.9,0.9,0.7,1.5,,,12.7,9.10
0,Laron Profit,4,Maryland,ACC,34,28.9,5.4,10.8,.503,4.7,8.6,.553,0.7,2.3,.312,2.9,4.4,.676,4.8,2.1,2.0,0.4,2.5,2.3,14.5,9.10
0,A.J. Bramlett,4,Arizona,Pac-10,29,31.3,5.5,10.3,.535,5.5,10.3,.537,0.0,0.0,.000,3.1,5.4,.576,9.4,1.2,0.8,1.3,2.0,3.2,14.2,8.31
0,Francisco Elson,2,California,Pac-10,32,19.8,2.5,4.9,.513,2.5,4.9,.513,0.0,0.0,,0.7,1.6,.412,5.1,0.5,0.8,1.3,1.1,2.6,5.7,7.85
0,Lee Nailon,2,TCU,WAC,31,31.9,8.6,16.9,.508,8.5,16.4,.515,0.1,0.5,.267,5.5,7.7,.715,9.3,2.5,1.2,0.9,3.2,3.6,22.8,4.90
0,Ryan Robertson,4,Kansas,Big 12,33,35.3,4.1,9.4,.439,2.6,5.2,.494,1.5,4.2,.370,3.1,3.5,.871,4.0,3.2,1.7,0.4,1.5,2.3,12.8,9.10
0,Todd MacCulloch,4,Washington,Pac-10,29,31.2,7.2,10.9,.662,7.2,10.9,.662,0.0,0.0,,4.2,7.1,.595,11.9,0.8,1.0,1.6,1.4,2.6,18.7,10.02
0,Lari Ketner,3,UMass,A-10,29,30.3,4.4,10.4,.422,4.4,10.4,.422,0.0,0.0,,2.0,3.5,.559,8.3,1.2,0.4,2.2,1.7,3.1,10.8,6.00
0,Venson Hamilton,4,Nebraska,Big 12,33,,5.9,11.8,.500,5.9,11.7,.501,0.0,0.0,.000,3.9,6.0,.657,10.2,1.6,2.0,2.4,,,15.7,5.85
0,Rodney Buford,4,Creighton,MVC,31,32.6,6.6,14.2,.469,4.9,10.1,.481,1.8,4.0,.440,3.5,4.3,.820,7.2,2.2,1.9,0.3,2.3,1.8,18.6,4.86
0,Tim Young,5,Stanford,Pac-10,33,24.9,3.6,7.1,.506,3.6,7.1,.506,0.0,0.0,,2.8,3.5,.825,7.2,2.0,0.4,0.9,1.8,2.5,10.0,10.34
0,Kenyon Martin,4,Cincinnati,CUSA,31,29.3,7.1,12.5,.568,7.1,12.3,.573,0.1,0.2,.286,4.5,6.6,.684,9.7,1.4,1.4,3.5,1.8,2.3,18.9,8.50
0,Stromile Swift,2,LSU,SEC,34,29.8,6.1,10.1,.608,5.9,9.3,.634,0.2,0.7,.280,3.7,6.1,.617,8.2,0.9,1.5,2.8,2.4,2.6,16.2,5.78
0,Marcus Fizer,3,Iowa State,Big 12,37,33.6,8.8,15.2,.582,8.4,14.1,.600,0.4,1.1,.357,4.7,6.5,.732,7.7,1.1,0.8,1.1,2.1,2.8,22.8,7.14
0,Mike Miller,2,Florida,SEC,37,28.6,4.7,9.9,.476,3.5,6.2,.559,1.3,3.8,.338,3.4,4.6,.729,6.6,2.5,1.2,0.4,1.9,1.9,14.1,8.51
0,DerMarr Johnson,1,Cincinnati,CUSA,32,27.5,4.4,9.2,.478,2.8,4.8,.575,1.6,4.4,.371,2.2,3.0,.737,3.8,1.4,1.0,0.9,1.4,2.0,12.6,8.50
0,Chris Mihm,3,Texas,Big 12,33,30.7,6.2,11.9,.523,6.0,11.5,.525,0.2,0.5,.467,5.0,7.0,.707,10.5,0.7,0.3,2.7,2.5,2.7,17.7,9.61
0,Jamal Crawford,1,Michigan,Big Ten,17,33.9,6.2,15.0,.412,4.2,9.1,.468,1.9,5.9,.327,2.4,3.0,.784,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.27
0,Joel Przybilla,2,Minnesota,Big Ten,21,30.4,5.8,9.5,.613,5.8,9.5,.613,0.0,0.0,,2.6,5.3,.495,8.4,2.4,0.8,3.9,3.7,2.9,14.2,9.62
0,Keyon Dooling,2,Missouri,Big 12,31,31.7,4.7,12.0,.389,2.8,6.5,.424,1.9,5.5,.347,4.0,5.4,.743,2.7,3.6,1.4,0.5,2.5,1.8,15.3,8.22
0,Jerome Moiso,2,UCLA,Pac-10,33,29.5,5.2,10.3,.501,5.1,10.1,.508,0.0,0.2,.167,2.6,4.3,.613,7.6,1.2,1.1,1.7,2.7,2.8,13.0,10.11
0,Etan Thomas,4,Syracuse,Big East,29,32.4,5.1,8.5,.602,5.1,8.5,.602,0.0,0.0,,3.4,5.0,.678,9.3,0.6,0.8,3.7,2.0,3.2,13.6,6.20
0,Courtney Alexander,5,Fresno State,WAC,27,36.1,9.3,20.9,.447,7.2,14.4,.499,2.1,6.5,.331,4.0,5.1,.781,4.7,3.5,1.4,0.1,2.5,2.3,24.8,3.58
0,Mateen Cleaves,4,Michigan State,Big Ten,26,31.5,4.2,10.0,.421,3.0,6.7,.443,1.2,3.3,.376,2.5,3.3,.756,1.8,6.9,1.4,0.2,3.7,2.2,12.1,9.91
0,Jason Collier,4,Georgia Tech,ACC,30,32.5,5.9,12.5,.473,4.9,9.7,.503,1.0,2.8,.369,4.1,5.5,.735,9.2,1.6,0.8,1.1,3.2,2.7,17.0,7.00
0,Desmond Mason,4,Oklahoma State,Big 12,34,35.4,6.2,12.4,.499,4.3,8.1,.536,1.9,4.4,.430,3.7,4.8,.767,6.6,1.5,1.2,1.0,1.8,2.0,18.0,6.59
0,Quentin Richardson,2,DePaul,CUSA,33,34.8,6.1,14.2,.432,3.9,8.4,.464,2.2,5.8,.384,2.5,3.6,.706,9.8,2.2,1.1,0.3,2.3,2.3,17.0,7.83
0,Jamaal Magloire,4,Kentucky,SEC,33,29.6,4.5,9.0,.500,4.5,9.0,.500,0.0,0.0,,4.2,6.2,.685,9.1,0.5,0.5,1.7,2.9,2.8,13.2,12.71
0,Speedy Claxton,4,Hofstra,AEC,31,35.1,8.2,17.4,.470,6.5,13.0,.500,1.6,4.3,.381,4.8,6.3,.764,5.4,6.0,3.3,0.2,3.3,2.3,22.8,-6.03
0,Morris Peterson,5,Michigan State,Big Ten,39,29.1,5.6,12.0,.465,3.4,6.9,.494,2.2,5.1,.425,3.5,4.5,.773,6.0,1.3,1.2,0.3,2.2,2.0,16.8,9.91
0,Donnell Harvey,1,Florida,SEC,37,20.2,3.9,7.7,.507,3.9,7.6,.509,0.0,0.0,.000,2.3,3.8,.610,7.0,1.0,0.7,0.8,1.6,2.7,10.1,8.51
0,Mamadou N'Diaye,4,Auburn,SEC,34,26.6,2.9,5.5,.535,2.9,5.5,.535,0.0,0.0,,3.0,4.6,.665,7.9,0.5,0.8,1.9,,,8.9,8.20
0,Erick Barkley,2,St. John's (NY),Big East,28,36.9,5.7,14.3,.398,3.9,8.6,.454,1.8,5.7,.313,2.9,4.4,.664,3.0,4.5,3.0,0.3,2.4,2.3,16.0,6.96
0,Mark Madsen,4,Stanford,Pac-10,23,27.3,4.7,8.0,.587,4.7,8.0,.587,0.0,0.0,,2.8,4.9,.575,9.3,1.1,0.6,0.9,1.5,2.3,12.2,7.12
0,Dan Langhi,4,Vanderbilt,SEC,30,34.4,7.4,15.5,.477,5.5,10.7,.511,1.9,4.8,.403,5.4,6.2,.871,6.0,0.8,0.4,0.3,1.8,1.9,22.1,7.54
0,A.J. Guyton,4,Indiana,Big Ten,29,34.3,7.0,15.3,.459,4.6,9.4,.485,2.5,5.9,.419,3.1,3.9,.789,3.1,2.3,1.0,0.4,2.4,0.9,19.7,10.22
0,Jake Voskuhl,4,UConn,Big East,34,22.9,3.2,5.6,.571,3.2,5.6,.571,0.0,0.0,,2.1,3.1,.683,6.4,1.1,0.5,1.4,1.8,2.7,8.5,7.58
0,Khalid El-Amin,3,UConn,Big East,35,31.9,5.6,13.6,.411,3.8,8.5,.443,1.8,5.1,.356,3.1,3.4,.892,3.1,5.2,1.7,0.1,2.7,2.1,16.0,7.58
0,Mike Smith,2,Louisiana-Monroe,Southland,28,36.1,6.7,15.8,.424,4.0,7.8,.511,2.7,7.9,.338,4.0,5.0,.801,9.4,3.4,1.5,0.9,4.3,2.0,20.1,-5.85
0,Eddie House,4,Arizona State,Pac-10,32,37.2,8.2,19.5,.422,5.9,13.2,.449,2.3,6.3,.365,4.3,5.1,.835,5.5,3.5,2.3,0.1,2.3,2.1,23.0,8.75
0,Eduardo Najera,4,Oklahoma,Big 12,34,34.2,6.9,15.1,.455,6.4,12.7,.500,0.5,2.4,.220,4.1,5.9,.688,9.2,2.1,1.7,0.7,2.4,2.9,18.4,6.63
0,Lavor Postell,4,St. John's (NY),Big East,33,35.0,5.2,12.1,.428,4.4,9.5,.463,0.8,2.6,.294,3.2,4.0,.809,6.9,1.8,0.9,0.6,1.5,2.4,14.3,6.96
0,Hanno Mottola,4,Utah,MWC,21,27.6,5.5,11.1,.498,4.5,8.2,.549,1.0,2.9,.350,5.0,6.0,.827,4.8,1.7,0.2,0.6,3.0,3.2,17.0,4.36
0,Michael Redd,3,Ohio State,Big Ten,30,33.5,6.6,15.1,.436,5.4,11.5,.474,1.1,3.6,.315,3.0,3.9,.776,6.5,2.1,1.2,0.2,2.1,1.9,17.3,6.55
0,Brian Cardinal,4,Purdue,Big Ten,32,29.5,4.3,10.4,.411,3.0,6.5,.455,1.3,3.9,.339,4.1,5.3,.769,6.3,2.2,2.0,0.3,2.3,2.7,13.9,9.56
0,Jabari Smith,2,LSU,SEC,34,28.5,4.6,8.3,.553,4.2,7.3,.579,0.4,1.0,.371,2.9,4.9,.595,7.0,2.2,0.7,1.0,2.6,2.5,12.5,5.78
0,Jason Hart,4,Syracuse,Big East,32,33.8,3.9,9.5,.411,2.7,5.9,.460,1.2,3.6,.330,2.9,4.0,.734,3.0,6.5,1.8,0.1,3.5,2.4,11.9,6.20
0,Kaniel Dickens,2,Idaho,Big West,29,27.4,4.1,8.4,.486,3.6,7.2,.502,0.4,1.2,.382,3.5,5.5,.638,6.6,0.9,0.9,0.9,2.2,3.3,12.1,1.53
0,Dan McClintock,4,Northern Arizona,Big Sky,31,24.3,6.1,10.3,.597,6.1,10.3,.597,0.0,0.0,,3.3,4.9,.682,6.5,1.2,0.4,2.3,1.8,2.8,15.6,1.37
0,Chris Porter,2,Auburn,SEC,26,29.0,5.4,11.7,.464,5.3,11.0,.477,0.2,0.7,.235,3.6,5.3,.676,7.3,1.2,2.0,0.3,2.1,2.7,14.6,8.20
